# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:35
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 1
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 5.0
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,in_service1
     647.527,   333,Finish(1), after,   2,  23,   1
     648.434,   331,  Arrival,before,   1,  23,   1
     648.434,   331,  Arrival, after,   2,  24,   1
     648.578,   335,Finish(1),before,   1,  24,   1
     648.578,   335,Finish(1), after,   2,  23,   1
     649.775,   338,Finish(1),before,   1,  23,   1
     649.775,   338,Finish(1), after,   2,  22,   1
     654.432,   336,  Arrival,before,   1,  22,   1
     654.432,   336,  Arrival, after,   2,  23,   1
     659.346,   341,  Arrival,before,   1,  23,   1
     659.346,   341,  Arrival, after,   2,  24,   1
     661.207,   342,  Arrival,before,   1,  24,   1
     661.207,   342,  Arrival, after,   2,  25,   1
     665.555,   340,Finish(1),before,   1,  25,   1
     665.555,   340,Finish(1), after,   2,  24,   1
     667.730,   343,  Arrival,before,   1,  24,   1
     667.730,   343,  Arrival, after,   2,  25,   1
     669.262,   345,Finish(1),before,   1,  25,   1
     669.262,   345,Finish(1), after,   2,  24,   1
     673.191,   348,Finish(1),before,   1,  24,   1
     673.191,   348,Finish(1), after,   2,  23,   1
     682.377,   350,Finish(1),before,   1,  23,   1
     682.377,   350,Finish(1), after,   2,  22,   1
     682.431,   352,Finish(1),before,   1,  22,   1
     682.431,   352,Finish(1), after,   2,  21,   1
     684.456,   354,Finish(1),before,   1,  21,   1
     684.456,   354,Finish(1), after,   2,  20,   1
     686.035,   356,Finish(1),before,   1,  20,   1
     686.035,   356,Finish(1), after,   2,  19,   1
     690.241,   358,Finish(1),before,   1,  19,   1
     690.241,   358,Finish(1), after,   2,  18,   1
     692.311,   346,  Arrival,before,   1,  18,   1
     692.311,   346,  Arrival, after,   2,  19,   1
     699.487,   360,Finish(1),before,   1,  19,   1
     699.487,   360,Finish(1), after,   2,  18,   1
     704.869,   363,Finish(1),before,   1,  18,   1
     704.869,   363,Finish(1), after,   2,  17,   1
     716.633,   361,  Arrival,before,   1,  17,   1
     716.633,   361,  Arrival, after,   2,  18,   1
     719.514,   365,Finish(1),before,   1,  18,   1
     719.514,   365,Finish(1), after,   2,  17,   1
     725.203,   368,Finish(1),before,   1,  17,   1
     725.203,   368,Finish(1), after,   2,  16,   1
     726.659,   370,Finish(1),before,   1,  16,   1
     726.659,   370,Finish(1), after,   2,  15,   1
     727.448,   372,Finish(1),before,   1,  15,   1
     727.448,   372,Finish(1), after,   2,  14,   1
     728.718,   374,Finish(1),before,   1,  14,   1
     728.718,   374,Finish(1), after,   2,  13,   1
     728.992,   376,Finish(1),before,   1,  13,   1
     728.992,   376,Finish(1), after,   2,  12,   1
     732.386,   366,  Arrival,before,   1,  12,   1
