# file created by code in factory_simulation_2.jl
# file created on 2024-10-10 at 12:37:59
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
id,arrival_time,start_service_times,start_service_times,completion_time
92,5571.010017486997,6017.000700182965,6262.78069625556,6293.786942053222
93,5635.805438352811,6069.463927949734,6293.786942053222,6463.788369334489
94,5635.838497840003,6157.971434764809,6463.788369334489,6573.608763877848
95,5666.041431656435,6201.368687556494,6573.608763877848,6578.246312374783
96,5682.434435844173,6226.368687556494,6578.246312374783,6658.866585321519
97,5684.331478704376,6262.78069625556,6658.866585321519,6737.121296044286
98,5813.108360569815,6293.786942053222,6737.121296044286,6775.76137672582
99,5903.432308846445,6463.788369334489,6775.76137672582,6794.849518096195
100,5977.874053119167,6573.608763877848,6794.849518096195,6852.2551463798445
101,6010.769719405173,6598.608763877848,6852.2551463798445,6899.449927701094
102,6063.584482269692,6658.866585321519,6899.449927701094,6991.823822366748
103,6176.665586348227,6737.121296044286,6991.823822366748,7026.735540496796
104,6193.625280538361,6775.76137672582,7026.735540496796,7073.949564946495
105,6197.089484756917,6800.76137672582,7073.949564946495,7086.010035431324
106,6251.24961958809,6852.2551463798445,7086.010035431324,7095.753777361304
107,6295.122138166651,6899.449927701094,7095.753777361304,7210.545342391531
108,6295.887955353194,6991.823822366748,7210.545342391531,7214.391373518422
109,6469.300053369371,7026.735540496796,7214.391373518422,7358.5562648529385
110,6529.301992489057,7073.949564946495,7358.5562648529385,7403.776260127889
111,6538.559592777166,7098.949564946495,7403.776260127889,7416.183793986024
112,6560.433162273578,7123.949564946495,7416.183793986024,7430.307155595199
113,6732.499320226564,7210.545342391531,7430.307155595199,7616.515925907124
114,6765.836669585506,7235.545342391531,7616.515925907124,7660.25219321445
115,6954.461990505199,7358.5562648529385,7660.25219321445,7706.615536911632
116,7082.950047570197,7403.776260127889,7706.615536911632,7815.01522303197
117,7132.763396435072,7428.776260127889,7815.01522303197,7815.6467822773375
118,7145.463803035949,7453.776260127889,7815.6467822773375,7839.539025465596
119,7310.7094364694485,7616.515925907124,7839.539025465596,7858.177765940769
120,7396.595964927672,7660.25219321445,7858.177765940769,7907.803875511131
121,7410.391137587706,7706.615536911632,7907.803875511131,8016.906863415989
122,7479.591773973874,7815.01522303197,8016.906863415989,8080.413474043948
123,7536.299636852328,7840.01522303197,8080.413474043948,8253.23214637757
124,7557.773648274088,7865.01522303197,8253.23214637757,8320.3520057006
125,7633.038956881894,7890.01522303197,8320.3520057006,8337.539194248558
126,7916.65672526969,7916.65672526969,8337.539194248558,8346.84421253877
127,8197.295268620946,8197.295268620946,8346.84421253877,8361.838236861515
128,8379.06429291386,8379.06429291386,8404.06429291386,8478.852503897695
129,8382.352185052903,8404.06429291386,8478.852503897695,8487.799473810517
130,8717.976407682245,8717.976407682245,8742.976407682245,8757.166686073511
131,8776.235190706799,8776.235190706799,8801.235190706799,8812.005482945973
132,8784.465367323926,8801.235190706799,8826.235190706799,8861.730676883206
133,8852.863236288285,8852.863236288285,8877.863236288285,8898.065629994166
134,9044.718933937342,9044.718933937342,9069.718933937342,9161.143877938826
135,9174.959589941569,9174.959589941569,9199.959589941569,9274.986887190533
136,9232.53701193674,9232.53701193674,9274.986887190533,9275.374188557875
137,9257.012470798763,9257.53701193674,9282.53701193674,9343.831271837778
138,9332.07845761839,9332.07845761839,9357.07845761839,9372.83785347184
139,9337.227425931109,9357.07845761839,9382.07845761839,9451.922378583637
140,9345.923382426443,9382.07845761839,9451.922378583637,9660.159263526732
141,9425.370879175945,9425.370879175945,9660.159263526732,9683.102604359063
142,9484.425903040426,9484.425903040426,9683.102604359063,9798.720805040994
143,9546.943885036211,9546.943885036211,9798.720805040994,9823.010544590656
144,9596.901764245922,9596.901764245922,9823.010544590656,9864.839927449073
145,9608.119099586995,9621.901764245922,9864.839927449073,9994.427758167421
