# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:22
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 2
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 10.0
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,in_service1,length_queue2,in_service2
     406.624,   210,  Arrival,before,   2,   2,   1,   3,   1
     406.624,   210,  Arrival, after,   3,   3,   1,   3,   1
     409.624,   215,  Arrival,before,   2,   3,   1,   3,   1
     409.624,   215,  Arrival, after,   3,   4,   1,   3,   1
     409.702,   216,  Arrival,before,   2,   4,   1,   3,   1
     409.702,   216,  Arrival, after,   3,   4,   1,   4,   1
     414.518,   217,  Arrival,before,   2,   4,   1,   4,   1
     414.518,   217,  Arrival, after,   3,   5,   1,   4,   1
     415.560,   206,Finish(2),before,   2,   5,   1,   4,   1
     415.560,   206,Finish(2), after,   3,   5,   1,   3,   1
     431.755,   218,  Arrival,before,   2,   5,   1,   3,   1
     431.755,   218,  Arrival, after,   3,   5,   1,   4,   1
     432.162,   220,Finish(2),before,   2,   5,   1,   4,   1
     432.162,   220,Finish(2), after,   3,   5,   1,   3,   1
     433.331,   221,  Arrival,before,   2,   5,   1,   3,   1
     433.331,   221,  Arrival, after,   3,   5,   1,   4,   1
     448.107,   224,  Arrival,before,   2,   5,   1,   4,   1
     448.107,   224,  Arrival, after,   3,   5,   1,   5,   1
     450.257,   225,  Arrival,before,   2,   5,   1,   5,   1
     450.257,   225,  Arrival, after,   3,   6,   1,   5,   1
     453.144,   223,Finish(2),before,   2,   6,   1,   5,   1
     453.144,   223,Finish(2), after,   3,   6,   1,   4,   1
     454.523,   214,Finish(1),before,   2,   6,   1,   4,   1
     454.523,   214,Finish(1), after,   3,   5,   1,   4,   1
     456.320,   230,Finish(1),before,   2,   5,   1,   4,   1
     456.320,   230,Finish(1), after,   3,   4,   1,   4,   1
     456.505,   228,Finish(2),before,   2,   4,   1,   4,   1
     456.505,   228,Finish(2), after,   3,   4,   1,   3,   1
     459.464,   232,Finish(1),before,   2,   4,   1,   3,   1
     459.464,   232,Finish(1), after,   3,   3,   1,   3,   1
     459.640,   234,Finish(2),before,   2,   3,   1,   3,   1
     459.640,   234,Finish(2), after,   3,   3,   1,   2,   1
     460.461,   226,  Arrival,before,   2,   3,   1,   2,   1
     460.461,   226,  Arrival, after,   3,   3,   1,   3,   1
     465.471,   236,Finish(1),before,   2,   3,   1,   3,   1
     465.471,   236,Finish(1), after,   3,   2,   1,   3,   1
     465.688,   239,  Arrival,before,   2,   2,   1,   3,   1
     465.688,   239,  Arrival, after,   3,   3,   1,   3,   1
     467.745,   238,Finish(2),before,   2,   3,   1,   3,   1
     467.745,   238,Finish(2), after,   3,   3,   1,   2,   1
     469.910,   241,Finish(1),before,   2,   3,   1,   2,   1
     469.910,   241,Finish(1), after,   3,   2,   1,   2,   1
     471.669,   242,  Arrival,before,   2,   2,   1,   2,   1
     471.669,   242,  Arrival, after,   3,   3,   1,   2,   1
     475.695,   247,  Arrival,before,   2,   3,   1,   2,   1
     475.695,   247,  Arrival, after,   3,   3,   1,   3,   1
     477.334,   246,Finish(1),before,   2,   3,   1,   3,   1
     477.334,   246,Finish(1), after,   3,   2,   1,   3,   1
     478.507,   248,  Arrival,before,   2,   2,   1,   3,   1
     478.507,   248,  Arrival, after,   3,   3,   1,   3,   1
     480.400,   250,Finish(1),before,   2,   3,   1,   3,   1
     480.400,   250,Finish(1), after,   3,   2,   1,   3,   1
     483.664,   251,  Arrival,before,   2,   2,   1,   3,   1
     483.664,   251,  Arrival, after,   3,   3,   1,   3,   1
     484.877,   253,Finish(1),before,   2,   3,   1,   3,   1
     484.877,   253,Finish(1), after,   3,   2,   1,   3,   1
     487.328,   254,  Arrival,before,   2,   2,   1,   3,   1
     487.328,   254,  Arrival, after,   3,   3,   1,   3,   1
     492.944,   257,  Arrival,before,   2,   3,   1,   3,   1
     492.944,   257,  Arrival, after,   3,   4,   1,   3,   1
     495.414,   256,Finish(1),before,   2,   4,   1,   3,   1
     495.414,   256,Finish(1), after,   3,   3,   1,   3,   1
     495.420,   260,Finish(1),before,   2,   3,   1,   3,   1
     495.420,   260,Finish(1), after,   3,   2,   1,   3,   1
     496.085,   258,  Arrival,before,   2,   2,   1,   3,   1
     496.085,   258,  Arrival, after,   3,   3,   1,   3,   1
     498.351,   244,Finish(2),before,   2,   3,   1,   3,   1
     498.351,   244,Finish(2), after,   3,   3,   1,   2,   1
     498.675,   263,  Arrival,before,   2,   3,   1,   2,   1
     498.675,   263,  Arrival, after,   3,   3,   1,   3,   1
     500.454,   262,Finish(1),before,   2,   3,   1,   3,   1
     500.454,   262,Finish(1), after,   3,   2,   1,   3,   1
     500.770,   268,Finish(1),before,   2,   2,   1,   3,   1
     500.770,   268,Finish(1), after,   3,   1,   1,   3,   1
     501.084,   265,Finish(2),before,   2,   1,   1,   3,   1
